PartNumber,Description,Quantity,Location
00194557,ENERGY CHAIN FOR THE LIFTING UNIT non sap L=800 MM / 18 GL.,1,Unassigned
00194559,CONNECTION SERIE 240.07 non sap 2070.34PZB,2,Unassigned
00194560,PLATE SWITCHES non sap L=200 MM,1,Unassigned
00194563,PLATE SWITCHES VERTIKAL non sap 66 x 80 MM,1,Unassigned
00194566,FIXATION LINK non sap Plate,1,Unassigned
00194567,FIXATION LINK non sap Plate,1,Unassigned
00194569,FIXATION LINK Plate,1,Unassigned
00194574,"PINION non sap MOD.5, Z=23 , DI 40",1,Unassigned
00194575,ACTIVATOR(non sap) L=300 mm,1,Unassigned
00194577,ACTIVATOR(non sap) L=120 MM,1,Unassigned
00194578,ACTIVATOR (non sap) 1035.02.00-12-3,2,Unassigned
00194579,COVER non sap Metal,1,Unassigned
00194580,MONTING BRACKET non sap MOUNTING BRACKET,1,Unassigned
00194582,"TOOTHED RACK 5 MODULE non sap MOD. 5, 50 X 50-1995",1,Unassigned
00194922,CHAIN WHEEL non sap 16B-1; Z=17; DI 40,1,Unassigned
00195122,"PINION PROFILE , Tooth rack for pallet stackers MODUL 5, BI 10 X 80, 926",4,Unassigned
00195158,COMBINED BEARING non sap V 1432 PA,0,Unassigned
00195159,AXIAL ROLLER non sap D 80 X 60,0,Unassigned
00195160,RADIAL ROLLER non sap V 1432 PA,1,Unassigned
00195161,FRICTION BEARING BUSH non sap JSM-5055-50,1,Unassigned
00195165,Sliding plate 40 x 20 - 182 40 x 20 - 182,1,Unassigned
00195176,"HELICAL GEARED MOTOR non sap GST07-3M VBR 080C42 - MDE, Motor MDXMA2M080-42",1,Unassigned
00195185,"ROLLER CHAIN 65 GL., 1600 MM, DIN 8187",1,Unassigned
00195188,"CHAIN JOINT non sap DIN 8187, 16-B-1-S",0,Unassigned
00195193,ROLLER CHAIN non sap L=1650 MM / 52 GL.,1,Unassigned
00195194,CONECTION LINK non sap FOR 20 B-1,1,Unassigned
00195202,TRACK FOR RASM non sap L=560 AUS. NB420 CPL RIGHT ( Belt L=1640),0,Unassigned
00195296,SPROCKET non sap 2x20B1 Z17 di 50,2,Unassigned
00195297,"WITH CABLE-BOX V1-W-10M-PVC , 33486",1,Unassigned
00195310,"HELICAL GEARED MOTOR non sap FOR THE TRAVELLING UNIT , GST07-2m VCK 080C32BR08N , Motor MDXMA2M080-32",1,Unassigned
00195312,HELICAL GEARED MOTOR non sap GST09-3MVBR 080C42 BR-FL,1,Unassigned
00196157,"LIFT CHAIN non sap 5/8X3/8 (L=8794,75)",4,Unassigned
00196159,"LIFT CHAIN non sap 5/8X3/8 (L=9906,00)
Z-lift",4,Unassigned
00196164,"LIFT CHAIN non sap 5/8X3/8 (L=12541,25)",4,Unassigned
00196169,"LIFT CHAIN non sap 5/8X3/8 (L=15113,00)",3,Unassigned
00196822,Induct. Sensor IFK3004-BPKG/M/US-104-DPS IFS217 IFM; UL,2,Unassigned
00196829,security clutch 106310,1,Unassigned
00196831,"PINION MODULE non sap 3, 80 TEETH",1,Unassigned
00196835,TELESCOPE FORK 1 TZ-500-1300/1200,0,Unassigned
00196838,ROLLERCHAIN 12 B1 non sap L=590MM; 31 LINKS,0,Unassigned
00196841,ENCODER non sap RSI58N-01AAAR61N-1024,2,Unassigned
00196844,SPROCKET WHEEL WASHER non sap 12B1; Z=19; di=58 (zu Pos,1,Unassigned
00196846,CHAIN WHEEL non sap 12B1; Z=15; di=25,1,Unassigned
00196848,PINION non sap Modul 3; Z=23; di=25,1,Unassigned
00196850,"LOWER GLIDING GUIDANCE non sap GUIDE RAIL, LAC21 Forks",4,Unassigned
00197130,TRACK FOR RASM non sap L=835 AUS. NB620 CPL LEFT (Belt L=2190),2,Unassigned
00197148,TRACK FOR RASM non sap L=835 AUS. NB620 CPL RIGHT (Belt L=2190),2,Unassigned
00197152,"WORM GEAR MOTOR non sap 0,55 kW; 266/460V,DT80K4/BMG/HRNTF",1,Unassigned
00197153,TRACK FOR RASM non sap L=710 AUS. NB420 CPL (Belt L=1940),3,Unassigned
00197160,"FLAT GEAR MOTOR non sap (1709097) 0,75 kW; 266/460V",1,Unassigned
00197164,"FLAT GEAR MOTOR 1,5 kW; 266/460",1,Unassigned
00197173,"CHAIN WHEEL non sap 06B1, Z=13, LAC21 Forks",0,Unassigned
00197311,TRIP CAM WELDED non sap TRIP CAM WELDED,2,Unassigned
00197316,CHAIN AXLE non sap CHAIN AXLE,2,Unassigned
00197328,CHAIN BOLT non sap 06B1,1,Unassigned
00197330,CHAIN GUIDANCE non sap CHAIN GUIDANCE,1,Unassigned
00197331,CHAIN SCREW non sap CHAIN SCREW,2,Unassigned
00197340,"ROLLER non sap Ø 35/18 X 44,6 MR 1942",2,Unassigned
00197342,"ROLLER non sap Ø 47 X 28,1 MR 1941",2,Unassigned
00197345,TRIP CAM non sap TRIP CAM,1,Unassigned
00197348,WASHER MIDDLE TABLE non sap WC-12-DU,1,Unassigned
00197349,"GEAR RACK L=1348 MM non sap Modul 3, 20x20; L=1348mm",1,Unassigned
00197350,VERTICAL GUIDING BEARING non sap PR 2.058  AP 3-Q,2,Unassigned
00197354,ECCENTRIC non sap 50_D50_H100_LI,1,Unassigned
00197356,ECCENTRIC non sap 50_D50_H100_RE,1,Unassigned
00197360,CHAIN WHEEL non sap 20B-1; Z=17; d=60,1,Unassigned
